Book-Title,Book-Author,Year-Of-Publication,Publisher
The Frontrunner,Paul Kilduff,2002,Chivers Press Ltd
Sweet Dreams Are Made of This,Margaret Burt,2000,Sceptre
The Martini Shot: A Novel,Peter Craig,2000,Quill Press
The Adventure of Food : True Stories of Eating Everything (Travelers' Tales Guides),Richard Sterling,1999,Travelers' Tales Guides
The Spark of Life: Darwin and the Primeval Soup,Christopher Wills,2001,HarperCollins
The Moral Compass: Stories for a Life's Journey,William J. Bennett,1996,Simon &amp; Schuster
"My Favorite Fantasy Story (Daw Book Collectors, No. 1161)",Martin H. Greenberg,2000,Daw Books
Francis Ford Coppola: A Filmmaker's Life,Michael Schumacher,2000,Bloomsbury Pub Ltd
Mother Love,Martine Oborne,2000,Piatkus Books
"City of the Rats (Deltora Quest, No 3)",Emily Rodda,2001,Scholastic
"The Lake of Tears (Deltora Quest, 2)",Emily Rodda,2001,Scholastic
Sly Old Wardrobe,Ivan Southall,1974,Hodder &amp; Stoughton General Division
Dreaming Swimmer Non Fiction 1992,Clive James,0,Pan
Angel Square,Brian Doyle,1991,Firefly Books (J)
After the Dancing Days,Margaret Rostowski,1990,Pan Macmillan
The Way Home,Leigh Sauerwein,1996,Pan Macmillan
"A Crown of Swords (The Wheel of Time, Book 7)",Robert Jordan,1997,Tor Fantasy
30 Days,N. Gumbel,0,Holy Trinity Brompton / Alpha Resource
Where the Heart Is,Billie Letts,1995,Brilliance Audio
The Birthday Room,Kevin Henkes,2001,HarperTrophy
Witch Boy,Russell Moon,2002,HarperTempest
Feather Boy,NICKY SINGER,2002,Delacorte Books for Young Readers
Which Witch ?,Eva Ibbotson,1988,Macmillan Pub Ltd
"Gambler's Star, Book Two: : Legacies and Lies (Gambler's Star, No 2)",Nancy Holder,1999,Eos
"The  \M\""  Word (Bel Barrett Mysteries (Avon Books))""",Jane Isenberg,1999,HarperCollins
"Spirit Fox (Daw Book Collectors, No. 1105)",Mickey Zucker Reichert,2000,Daw Books
Timediver's Dawn,L. E. Modesitt Jr.,1992,Tor Books (Mm)
"Future Indefinite (Great Game/Dave Duncan, Round 3)",Dave Duncan,1997,Harpercollins
Master of the Grove,Victor Kelleher,1988,Penguin USA
"Sons, Lovers, Etcetera",Vida Adamoli,1997,Trafalgar Square
This One and Magic Life : A Novel of a Southern Family,Anne C. George,2001,Perennial
Vaporetto 13: A Novel,Robert Girardi,1997,Bantam Dell Pub Group
Frost bytes,Pene Greet,1995,Doubleday
"Frankly Scarlett, I Do Give a Damn!: Classic Romances Retold",Beverly West,1996,Harpercollins
Bad Attitude: The Processed World Anthology,Chris Carlsson,1990,Verso
The Ends of the Earth: 14 Stories,Lucius Shepard,1991,Arkham House Publishers
"Shelley's Poetry and Prose: Authoritative Texts, Criticism (Norton Critical Edition)",Percy Bysshe Shelley,1977,W. W. Norton &amp; Company
Sword of the Lamb: Book One of the Phoenix Legacy (Phoenix Legacy),M. K. Wren,2001,Backinprint.com
"Thinking Games, Book 1",Valerie Anderson,1980,McGraw Hill Children's Pub
Where Is God When It Hurts?,Philip Yancey,1997,Zondervan Publishing Company
The Further Adventures of Huckleberry Finn,Greg Matthews,1984,New Amer Library (Mm)
Ultimate Treasure (Dr. Who Series),Christopher Bulis,1998,BBC Books
Children of the Thunder,John Brunner,1988,Del Rey Books
"Serpent's Gift (Starbridge, 4)",A.C. Crispin,1992,Ace Books
Strong for Potatoes,Cynthia Thayer,1999,St. Martin's Press
Sisters in Fantasy II,Susan Shwartz,1996,Roc
The Curse of the Witch-Queen,Paula Volsky,1982,Del Rey Books
Once In a House On Fire,Andrea Ashworth,0,Pan Books Ltd
Gaining Ground,Joan Barfoot,1980,The Women's Press
Miss Julia Throws a Wedding,Ann B. Ross,2003,Penguin Books
"PS, I Love You",Cecelia Ahern,2005,Hyperion
May Week Was In June,Clive James,0,Pan Books Ltd
Kidnapped (Penguin Popular Classics),Robert Louis Stevenson,1994,Penguin Books Ltd
Hidden Symptons,Deirdre Madden,1988,Faber and Faber Ltd
Dracula (Everyman Paperback Classics),Bram Stoker,1995,Everyman Paperback Classics
Girls Night Out,Kathy Lette,1995,Macmillan Pub Ltd
Perfect Meringues,Laurie Graham,1997,"Black Swan Books, Limited"
The Death Ship: The Story of an American Sailor,B. Traven,1991,Lawrence Hill Books
Skinner's Rules,Quintin Jardine,2001,Headline
Truth or Dare,Celia Rees,2000,Macmillan Children's Books
Water of Death,Paul Johnston,1999,New English Library
Touching the Sky,Madison,2003,Corgi Books
Moonfleet (Puffin Classics),J. Meade Falkner,1994,Puffin Books
New Windmills: Brat Farrar (New Windmills),Josephine Tey,1968,Heinemann Educational Books - Secondary Division
Remember Me to Harold Square,Paula Danzinger,1988,Egmont Childrens Books
Watership Down,Richard Adams,1974,Penguin Books
Human Croquet,Kate Atkinson,1998,Harpercollins U
On the Black Hill,Bruce Chatwin,0,Pan Books Ltd
This is your life (Contemporary American fiction),Meg Wolitzer,1989,Penguin Books
Bone People,Keri Hulme,0,Spiral Pr
"Fool's Fate (The Tawny Man, Book 3)",ROBIN HOBB,2004,Bantam
Old Boys,William Trevor,1996,Penguin Books
The Delicate Storm,Giles Blunt,2004,Berkley Publishing Group
Dark Destiny,Christine Feehan,2004,Leisure Books
Mind Game,Christine Feehan,2004,Jove Books
Proof,Justine Davis,2004,Silhouette
Canterbury Tales (Wordsworth Poetry Library),Geoffrey Chaucer,1998,NTC/Contemporary Publishing Company
Scaredy Cat,Mark Billingham,2004,Avon Books
Dead Wrong,MARIAH STEWART,2004,Ballantine Books
The Rules(TM) II : Rules to Live and Love By,Ellen Fein,1997,Warner Books
The Rules for Online Dating : Capturing the Heart of Mr. Right in Cyberspace,Ellen Fein,2002,Pocket
Faking It (Jennifer Crusie 2004),Jennifer Crusie,2004,St. Martin's Press
Persuader,LEE CHILD,2004,Dell
Everybody's Hero,Tracy Kelleher,2002,Harlequin
Middlemarch (Wordsworth Collection),George Eliot,1998,Wordsworth Editions Ltd
Ice-Man,Ron Cutler,2004,Pinnacle Books
In the House of the Law: Gender and Islamic Law in Ottoman Syria and Palestine,Judith E. Tucker,2000,University of California Press
Crafts to Decorate Your Home,Mary Engelbreit,1999,Meredith Books
Modern Origami (Origami),James Minoru Sakoda,1997,Dover Publications
Woman in the Nineteenth Century (Dover Thrift Editions),Margaret Fuller,1999,Dover Publications
Wuthering Heights and Poems (Everyman Paperback Classics),Emily Bronte,1993,Tuttle Publishing
Strange Brains and Genius : The Secret Lives Of Eccentric Scientists And Madmen,Clifford A. Pickover,1999,Perennial
"Bulletproof Bride (Silhouette Intimate Moments, 1284)",Diana Duncan,2004,Silhouette
"In Her Husband's Image (Silhouette Special Edition, 1608)",Vivienne Wallington,2004,Silhouette
"For The Babies' Sakes  (Expecting) (Harlequin Presents, No. 2280)",Sara Wood,2002,Harlequin
"The Boss's Secret Mistress (Harlequin Presents, 2378)",Alison Fraser,2004,Harlequin
Scribbling Women: Short Stories by 19th Century American Women,Elaine Showalter,1997,Rutgers University Press
Beyond the Veil: Male-Female Dynamics in Modern Muslim Society,Fatima Mernissi,1987,Indiana Univ Pr
"Hope Leslie, Or, Early Times in the Massachusetts (Penguin Classics)",Catharine Maria Sedgwick,1998,Penguin Books
Ruth Hall: A Domestic Tale of the Present Time (Penguin Classics),Fanny Fern,1997,Penguin Books
Tales from the Thousand and One Nights (Penguin Classics),N.J. Dawood,1973,Penguin Books
"Incidents in the Life of a Slave Girl: With \a True Tale of Slavery\"" (Penguin Classics)""",Harriet Jacobs,2000,Penguin Books
Simply Sexy  (Heat),Carly Phillips,2002,Harlequin
Wicked &amp; Willing  (Bad Girls),Leslie Kelly,2003,Harlequin
"At your service, Jack",Brenda Hammond,2002,Harlequin
Barely Decent  (heat),Jennifer Labrecque,2002,Harlequin
"Undercover Lovers  (Heat) (Harlequin Temptation, No. 893)",Julie Kenner,2002,Harlequin
"The Best Of Me (Harlequin Temptation, No. 894)",Tina Wainscott,2002,Harlequin
It's a guy thing !   (the wrong bed),C Myers,2002,Harlequin
"A Baby For Emily (Silhouette Special Edition, No. 1466)",Ginna Gray,2002,Silhouette
"The Wild Child   A Little Secret (Harlequin Superromance, 1160)",Judith Bowen,2003,Harlequin
"Ruling Passions (Silhouette Desire, 1536)",Laura Wright,2003,Silhouette
"The New Man : Under One Roof (Harlequin Superromance, 1166)",Janice Kay Johnson,2003,Harlequin
A Baby By Christmas (Harlequin Superromance),Linda Warren,2003,Harlequin
"The Perfect Mom   Under One Roof (Harlequin Superromance, 1153)",Janice Kay Johnson,2003,Harlequin
No Ordinary Child,Darlene Graham,2003,Harlequin
"Wild Cat And The Marine   A Little Secret (Harlequin Superromance, 1156)",Jade Taylor,2003,Harlequin
The Butterfly Effect,James Swallow,2004,Games Workshop
Catch and Keep / The Maid of Dishonor,Hannah Bernard,2003,Harlequin
The Bourne Identity,Robert Ludlum,1984,Bantam Books
The Message: The New Testament in Contemporary Language,Eugene H. Peterson,1994,Navpress
A Token of Love (Assorted Love Themes),Helen Exley,1997,Exley Giftbooks
"Green Grass, Running Water",Thomas King,1994,Bantam
High Fidelity.,Nick Hornby,2001,Kiepenheuer &amp; Witsch
Gastmahl auf Gomera.,Janosch,1999,Goldmann
Reif fÃ?Â¼r die Insel. England fÃ?Â¼r AnfÃ?Â¤nger und Fortgeschrittene.,Bill Bryson,1999,Goldmann
Billy Wilder. Eine Nahaufnahme.,Hellmuth Karasek,2002,Heyne
Around the World in 80 Days,Michael Palin,1991,Parkwest Publications
Michael Palins Hemingway Adventure,Michael Palin,0,Trafalgar Square
FrÃ?Â¼hstÃ?Â¼ck mit KÃ?Â¤ngurus. Australische Abenteuer.,Bill Bryson,2002,Goldmann
Wut.,Salman Rushdie,2002,Kindler
Der Regenmacher.,John Grisham,1996,Hoffmann &amp; Campe
Als ich ein kleiner Junge war.,Erich KÃ?Â¤stner,2003,Dtv
Sommer der ZÃ?Â¼ge.,Stewart ONan,1999,"Rowohlt, Reinbek"
Snow Crash.,Neal Stephenson,1995,Goldmann
"Kiss Of Darkness (Silhouette Shadows, No 32)",Sharon Brondos,1994,Silhouette
Salem Witch Trials: Alliance Project #1,Kathryn Wesley,2003,Pocket Star
The Edge of Doom,AMANDA CROSS,2003,Fawcett
"The Eternity Code (Artemis Fowl, Book 3)",Eoin Colfer,2004,Miramax Kids
"The Twelve Wild Swans : A Journey to the Realm of Magic, Healing, and Action",Starhawk,2001,HarperSanFrancisco
Witch Wood,John Buchan,1989,Pub Group West
Death of an Expert Witness,P D James,0,Warner Books> C/o Little Br
Why Aren't They Screaming?,Joan Smith,1992,Fawcett Books
Purple Place for Dying,John D. MacDonald,1987,Ballantine Books
Nothing Is Impossible : Reflections on a New Life,CHRISTOPHER REEVE,2002,Random House
Carney's House Party (Deep Valley Book),Maud Hart Lovelace,2000,HarperTrophy
Winona's Pony Cart (Betsy-Tacy),Maud Hart Lovelace,2000,HarperTrophy
A Taste for Death,P. D. James,1996,Warner Books
The Official Preppy Handbook,Lisa Birnbach,1980,Workman Publishing
A Dress to Die for: A Mandy Dyer Mystery (Mandy Dyer Mystery),Dolores Johnson,1998,Dell Publishing Company
Hung Up to Die: A Mandy Dyer Mystery (Mandy Dyer Mystery),Dolores Johnson,1997,Dell Publishing Company
"Wash, Fold and Die: A Mandy Dyer Mystery (Mandy Dyer Mystery)",Dolores Johnson,1999,Dell Publishing Company
Murder at Bertram's Bower (Dell Mystery),CYNTHIA PEALE,2002,Dell
The Totally Teatime Cookbook (Totally Cookbooks),Helene Siegel,1995,Celestial Arts
Afternoon Teas: Recipes-History-Menus (Between Friends Cookbook),Pam McKee,1994,Fox Chapel Publishing Company
Mint Julep Murder,Carolyn G. Hart,1995,Bantam Books
Costume and fashion: A concise history (World of art library),James Laver,1982,Thames and Hudson
Illustrated Cat Poster Book,Jean-Claude. Suar`Es,1988,Random House Value Publishing
Nursing: The Finest Art : An Illustrated History,M. Patricia Donahue,1986,Harry N Abrams Inc
"Truth or Dare : Encounters with Power, Authority, and Mystery",Starhawk,1989,HarperSanFrancisco
"Dreaming the Dark: Magic, Sex and Politics (Beacon Paperbacks)",Starhawk,1989,Beacon Press
The Song of Eve: Mythology and Symbols of the Goddess,Manuela Dunn Mascetti,1990,Simon &amp; Schuster
Sanctuaries of the Goddess: The Sacred Landscapes and Objects,Peg Streep,1994,Little Brown &amp; Co
The Dinner Party,Judy Chicago,1996,Penguin USA
The Choices We Made: 25 Women and Men Speak Out About Abortion,Angela Bonavoglia,1991,Random House Inc
Murder of a Small-Town Honey: A Scumble River Mystery (Scumble River Mysteries (Paperback)),Denise Swanson,2000,Signet Book
Motherhood: A Gift of Love,Running Press,1991,Running Pr
Barbie: Her Life and Times,Billy Boy,1987,Crown Publishing Group (NY)
They Say My Kid's Gifted: Now What?,F. Richard Olenchak,1998,Prufrock Press
Helping Gifted Children Soar: A Practical Guide for Parents and Teachers,Carol Ann Strip,2000,Great Potential Press
Meditations for Mothers of Toddlers,Beth Wilson,1994,Workman Publishing
Learning to Fly: A Thriller,April Henry,2002,St. Martin's Minotaur
Celebrating the Great Mother: A Handbook of Earth-Honoring Activities for Parents and Children,Cait Johnson,1995,Destiny Books
Woman's Encyclopedia of Myths and Secrets,Barbara G. Walker,1983,HarperSanFrancisco
Women's Rituals : A Sourcebook,Barbara G. Walker,1990,HarperSanFrancisco
The Starving Student's Cookbook,Dede Napoli,1984,Warner Books
Immaculate Midnight (Jane Lawless Mysteries (Hardcover)),Ellen Hart,2002,Griffin
Death on a Casual Friday: A Scotia Mackinnon Mystery (Scotia MacKinnon Mysteries),Sharon Duncan,2001,Signet Book
Miss Zukas and the Island Murders (Miss Zukas Mysteries),Jo Dereske,1995,Avon
Bitter Medicine,Sara Paretsky,1990,Ballantine Books
Midwives to the dying,Miriam Schneider,1992,Angel's Work
The Myth of the Goddess: Evolution of an Image (Arkana S.),Anne Baring,1993,Penguin Books
Ancient Mirrors of Womanhood: A Treasury of Goddess and Heroine Lore from Around the World,Merlin Stone,1984,Beacon Press
The Pagan Book of Living and Dying : T/K,Starhawk,1997,HarperSanFrancisco
The Complete Guide to Women's Health (Plume Books),"Bruce D., M.D. Shephard",1990,Penguin USA
The Oldest Sin (Sophie Greenway Mystery),Ellen Hart,1996,Fawcett Books
For Every Evil (Jane Lawless Mysteries (Paperback)),Ellen Hart,1995,Fawcett Books
This Little Piggy Went to Murder,Ellen Hart,1994,Fawcett Books
Amazon: A Novel,Barbara G. Walker,1993,HarperCollins
Circle Round: Raising Children in Goddess Traditions,Starhawk,1998,Bantam Books
Natural Pharmacy,Miriam Polunin,1992,Collier Books
Across Time And Death : The Extraordinary Search For My Past Life Family,Jenny Cockell,1994,Fireside
Essential San Juan Islands Guide (Essential San Juan Islands Guide),Marge Mueller,2001,Johnston Associates International
Best Places Destinations San Juan and Gulf Islands (Best Places San Juan and Gulf Islands),Jan Halliday,2000,Sasquatch Books
Echoes of the White Giraffe,Nyul Sook Choi,1995,Yearling Books
Wise Women: Over Two Thousand Years of Spiritual Writing by Women,Susan Neunzig Cahill,1996,W. W. Norton &amp; Company
Twenty Things Adopted Kids Wish Their Adoptive Parents Knew,Sherrie Eldridge,1999,Delta
I Wish for You a Beautiful Life: Letters from the Korean Birth Mothers of Ae Ran Won to Their Children,Sara Dorow,1999,Yeong &amp; Yeong Book Company
How to Raise a Healthy Child: In Spite of Your Doctor,Robert Mendelsohn,1990,Ballantine Books
Brigid's Charge,Cynthia Lamb,1997,Bay Island Books
Homebirth,Sheila Kitzinger,1991,Dk Pub
Woman as Healer,JEANNE ACHTERBERG,1991,Shambhala
The Maid of the North,Ethel Johnston Phelps,1982,Henry Holt &amp; Company
The Book of Goddesses,Kris Waldherr,1996,Beyond Words Publishing
Uppity Women of Ancient Times,Vicki Leon,1995,Conari Press
Laura Ashley Color: Using Color to Decorate Your Home,Susan Berry,1995,Harmony
Love To Water My Soul (Dreamcatcher),Jane Kirkpatrick,1996,Multnomah Publishers Inc.
GUINEVERE: TRUTH OF A LEGEND,Francis Phelan,1996,Atria
Walking to Mercury,Starhawk,1997,Bantam
A Walk Through the Fire,Marcia Muller,2000,Warner Books
There's Something in a Sunday,Marcia Muller,1990,Warner Books
Double,Bill Pronzini,1995,Warner Books
Priestess of Avalon,Marion Zimmer Bradley,2001,Viking Books
The Merchant of Venus,Ellen Hart,2001,Thomas Dunne Books
Hunting the Witch,Ellen Hart,1999,St Martins Pr
Wicked Games (Jane Lawless Mysteries (Hardcover)),Ellen Hart,1998,St. Martin's Press
Robber's Wine: A Jane Lawless Mystery (Jane Lawless Mysteries (Hardcover)),Ellen Hart,1996,Seal Press (WA)
Faint Praise: A Jane Lawless Mystery (Jane Lawless Mysteries (Hardcover)),Ellen Hart,1995,Seal Press (WA)
A Small Sacrifice: A Jane Lawless Mystery (Jane Lawless Mysteries (Hardcover)),Ellen Hart,1994,Seal Press (WA)
A Killing Cure: A Jane Lawless Mystery,Ellen Hart,1993,Seal Press (WA)
Vital Lies (Jane Lawless Mysteries (Paperback)),Ellen Hart,1994,Fawcett Books
Hallowed Murder (Jane Lawless Mysteries (Paperback)),Ellen Hart,1989,Seal Press (WA)
"Women of the West, Vol. 5",Rick Steber,1988,Bonanza Publishing
What Smart Women Know,Steven Carter,1991,Dell Publishing Company
How to Spin Gold: A Woman's Tale,Elizabeth Cunningham,1997,Barrytown Limited
The Wild Mother,Elizabeth Cunningham,1993,Station Hill Press
The Return of the Goddess: A Divine Comedy,Elizabeth Cunningham,1992,Station Hill Press
Listen to the Silence (Sharon McCone Mysteries (Hardcover)),Marcia Muller,2000,Mysterious Press
By Hook or by Book (Prime Crime Mysteries),D. R. Meredith,2000,Prime Crime
Betsy's Wedding (Betsy-Tacy Books),Maud Hart Lovelace,1996,HarperTrophy
Betsy and the Great World (Betsy-Tacy Books),Maud Hart Lovelace,1996,HarperTrophy
Betsy and Joe (Betsy &amp; Tacy),Maud Hart Lovelace,1995,HarperTrophy
Betsy Was a Junior (Betsy &amp; Tacy),Maud Hart Lovelace,1995,HarperTrophy
Betsy in Spite of Herself (Harper Trophy Book),Maud H. Lovelace,1994,HarperTrophy
By a Woman's Hand: A Guide to Mystery Fiction by Women,Dean James,1994,Berkley Publishing Group
'G' Is for Grafton : The World of Kinsey Millhone,Natalie Hevener Kaufman,1997,Henry Holt &amp; Company
The Mystery of Nancy Drew: Girl Sleuth on the Couch,Betsy Caprio,1992,Source Publications
The Nancy Drew Scrapbook,Karen Plunkett-Powell,1993,St. Martin's Press
The Whole Truth,Nancy Pickard,2001,Pocket
The 125 Most-Asked Questions About Cats (And the Answers),John Malone,1992,Harpercollins
No Way Out (Keypoint Series),Ivy Ruckman,1989,HarperTrophy
The Case of the Vanishing Veil (NANCY DREW ON CAMPUS),Carolyn Keene,2001,Aladdin
Moment Of Truth,Christiane Heggan,2002,Mira
"Smooth-Talking Texan  (A Family Circle) (Silhouette Intimate Moments, 1153)",Candace Camp,2002,Silhouette
"Royal Spy  (Romancing The Crown) (Silhouette Intimate Moments, 1154)",Valerie Parv,2002,Silhouette
Legend of the Sorcerer,Donna Kauffman,2000,Bantam Books
The Wyndham Legacy,Catherine Coulter,1994,Jove Books
More than a Mistress,MARY BALOGH,2001,Dell
Dream Mountain,Gena Hale,2001,Onyx Books
Samantha,Andrea Kane,1994,Pocket
Emerald Garden,Andrea Kane,1996,Pocket Books
